,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
273,11,xx85717,00   0,01  56,02  53,03  55,04  54,05  53,06  55,07  55
274,11,xx85747,00   0,01  54,02  53,03  56,04  53,05  53,06  54,07  54
275,11,xx85776,00   0,01  56,02  55,03  54,04  53,05  54,06  56,07  53
276,11,xx85805,00   0,01  56,02  55,03  56,04  56,05  54,06  54,07  55
277,11,xx85834,00   0,01  56,02  54,03  55,04  54,05  54,06  56,07  55
278,11,xx85864,00   0,01  55,02  55,03  54,04  54,05  53,06  54,07  54
279,11,xx85893,00   0,01  55,02  54,03  53,04  55,05  54,06  54,07  55
280,11,xx85922,00   0,01  56,02  55,03  55,04  52,05  53,06  54,07  55
281,11,xx85952,00   0,01  53,02  55,03  53,04  52,05  54,06  55,07  56
282,11,xx85981,00   0,01  54,02  55,03  54,04  55,05  53,06  56,07  54
283,11,xx86010,00   0,01  55,02  55,03  55,04  55,05  55,06  54,07  55
284,11,xx86040,00   0,01  54,02  55,03  56,04  56,05  53,06  54,07  54
285,11,xx86069,00   0,01  55,02  54,03  55,04  55,05  56,06  55,07  55
286,11,xx86098,00   0,01  54,02  54,03  54,04  54,05  53,06  54,07  55
287,11,xx86127,00   0,01  54,02  53,03  54,04  54,05  53,06  54,07  56
288,11,xx86157,00   0,01  55,02  54,03  55,04  55,05  55,06  53,07  54
289,11,xx86186,00   0,01  54,02  53,03  56,04  55,05  54,06  56,07  55
290,11,xx86215,00   0,01  54,02  55,03  56,04  56,05  54,06  54,07  56
291,11,xx86245,00   0,01  54,02  56,03  54,04  56,05  53,06  53,07  54
292,11,xx86274,00   0,01  54,02  54,03  55,04  56,05  54,06  55,07  54
293,11,xx86303,00   0,01  55,02  54,03  56,04  55,05  54,06  55,07  53
294,11,xx86333,00   0,01  53,02  55,03  55,04  54,05  54,06  54,07  56
295,11,xx86362,00   0,01  55,02  55,03  55,04  54,05  55,06  56,07  55
296,11,xx86391,00   0,01  54,02  55,03  54,04  55,05  55,06  53,07  53
297,11,xx86420,00   0,01  53,02  55,03  55,04  55,05  54,06  56,07  56
298,11,xx86450,00   0,01  54,02  54,03  54,04  55,05  55,06  56,07  55
299,11,xx86479,00   0,01  55,02  55,03  55,04  54,05  55,06  56,07  55
300,11,xx86508,00   0,01  53,02  55,03  55,04  55,05  53,06  56,07  53
301,11,xx86538,00   0,01  54,02  54,03  55,04  55,05  54,06  55,07  55
302,11,xx86567,00   0,01  54,02  54,03  56,04  55,05  54,06  55,07  57
303,11,xx86596,00   0,01  55,02  54,03  55,04  54,05  55,06  55,07  56
304,11,xx86625,00   0,01  56,02  55,03  54,04  55,05  55,06  54,07  55
305,11,xx86655,00   0,01  55,02  54,03  55,04  54,05  55,06  55,07  55
306,11,xx86684,00   0,01  54,02  56,03  54,04  55,05  54,06  55,07  54
307,11,xx86713,00   0,01  54,02  55,03  54,04  56,05  53,06  54,07  55
308,11,xx86743,00   0,01  53,02  56,03  55,04  56,05  53,06  56,07  55
309,11,xx86772,00   0,01  54,02  55,03  55,04  55,05  55,06  54,07  55
310,11,xx86801,00   0,01  55,02  56,03  54,04  54,05  55,06  56,07  55
311,11,xx86831,00   0,01  54,02  54,03  55,04  55,05  55,06  56,07  54
312,11,xx86860,00   0,01  54,02  56,03  54,04  54,05  55,06  56,07  54
313,11,xx86889,00   0,01  55,02  55,03  54,04  55,05  54,06  55,07  55
314,11,xx86918,00   0,01  55,02  56,03  55,04  55,05  55,06  55,07  55
315,11,xx86948,00   0,01  54,02  56,03  55,04  55,05  54,06  55,07  54
