,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
179,11,xx2366596,00   0,01  74,02  57,03  75,04  65,05  78,06  66,07  55
180,11,xx2366625,00   0,01  78,02  57,03  68,04  59,05  78,06  74,07  57
181,11,xx2366655,00   0,01  80,02  56,03  63,04  55,05  79,06  83,07  57
182,11,xx2366684,00   0,01  85,02  56,03  59,04  58,05  82,06  89,07  55
183,11,xx2366713,00   0,01  85,02  56,03  58,04  56,05  78,06  97,07  55
184,11,xx2366743,00   0,01  88,02  54,03  56,04  56,05  77,06 100,07  54
185,11,xx2366772,00   0,01  89,02  56,03  57,04  54,05  75,06 104,07  54
186,11,xx2366801,00   0,01  90,02  54,03  56,04  55,05  71,06 107,07  54
187,11,xx2366831,00   0,01  85,02  53,03  54,04  54,05  67,06 114,07  56
188,11,xx2366860,00   0,01  82,02  55,03  54,04  55,05  62,06 112,07  54
189,11,xx2366889,00   0,01  78,02  54,03  55,04  55,05  58,06 112,07  56
190,11,xx2366918,00   0,01  75,02  56,03  56,04  55,05  57,06 108,07  54
191,11,xx2366948,00   0,01  72,02  55,03  54,04  54,05  56,06  99,07  56
192,11,xx2366977,00   0,01  70,02  54,03  55,04  55,05  55,06  93,07  55
193,11,xx2367006,00   0,01  72,02  54,03  56,04  55,05  56,06  80,07  55
194,11,xx2367036,00   0,01  70,02  56,03  56,04  56,05  56,06  67,07  55
195,11,xx2367065,00   0,01  65,02  55,03  54,04  55,05  56,06  59,07  56
196,11,xx2367094,00   0,01  59,02  56,03  56,04  56,05  56,06  57,07  54
197,11,xx2367124,00   0,01  56,02  55,03  56,04  55,05  55,06  55,07  53
198,11,xx2367153,00   0,01  57,02  54,03  55,04  55,05  55,06  55,07  55
199,11,xx2367182,00   0,01  56,02  53,03  54,04  55,05  53,06  55,07  56
200,11,xx2367211,00   0,01  57,02  54,03  55,04  54,05  54,06  57,07  54
201,11,xx2367241,00   0,01  55,02  54,03  55,04  56,05  55,06  53,07  55
